id_hogar,renglon,pobreden,age_baseline,sex_baseline,state,village,cutoff,xraw,y,y_baseline,xnorm,xbin,bin_midpt
632288,7,1,14,female,3,302030016,759.35999,757.33002,1,1,-2.0299683,10,-2.5
644210,4,1,13,female,3,300580192,759.35999,735,1,1,-24.359985,6,-22.5
508050,4,1,9,female,3,300580064,759.35999,718,1,1,-41.359985,2,-42.5
512910,4,1,14,male,3,300230016,759.35999,712.5,0,1,-46.859985,1,-47.5
404150,4,1,11,female,3,300550016,759.35999,740.5,1,1,-18.859985,7,-17.5
643510,3,1,16,female,3,300580096,759.35999,755,1,1,-4.3599854,10,-2.5
328896,4,1,12,male,3,300460032,759.35999,718,1,1,-41.359985,2,-42.5
224966,6,1,12,male,3,301830016,759.35999,716,1,1,-43.359985,2,-42.5
517800,5,1,7,male,3,300580064,759.35999,740,1,1,-19.359985,7,-17.5
118876,7,1,9,female,3,300240000,759.35999,751,1,1,-8.3599854,9,-7.5
513180,3,1,16,male,3,300580096,759.35999,742,1,1,-17.359985,7,-17.5
649830,8,1,14,female,3,300580128,759.35999,717,0,1,-42.359985,2,-42.5
451643,7,1,7,female,3,301610080,759.35999,735,1,1,-24.359985,6,-22.5
401351,7,1,11,male,3,300580160,759.35999,718,1,1,-41.359985,2,-42.5
513250,4,1,14,female,3,300580096,759.35999,758,1,1,-1.3599854,10,-2.5
644280,3,1,7,male,3,300790016,759.35999,733,1,1,-26.359985,5,-27.5
401825,4,1,14,male,3,300580128,759.35999,753,0,1,-6.3599854,9,-7.5
623476,3,1,16,male,3,300660032,759.35999,715,1,1,-44.359985,2,-42.5
409793,3,no pobre,12,male,3,301550144,759.35999,785,1,1,25.640015,16,27.5
642380,6,1,9,female,3,300580096,759.35999,746.5,1,1,-12.859985,8,-12.5
314712,4,1,7,male,3,300830016,759.35999,733,0,1,-26.359985,5,-27.5
637879,3,1,14,male,3,300660032,759.35999,735,0,0,-24.359985,6,-22.5
656582,8,1,15,male,3,300830144,759.35999,717,1,1,-42.359985,2,-42.5
118946,8,1,10,female,3,300240032,759.35999,738,1,1,-21.359985,6,-22.5
404931,5,1,11,male,3,300550016,759.35999,748,1,1,-11.359985,8,-12.5
314672,7,1,15,female,3,300830016,759.35999,736.25,0,1,-23.109985,6,-22.5
331554,5,1,10,male,3,300790016,759.35999,742,1,1,-17.359985,7,-17.5
451643,8,1,6,female,3,301610080,759.35999,735,1,1,-24.359985,6,-22.5
618630,6,1,9,female,3,300580000,759.35999,753,1,1,-6.3599854,9,-7.5
400413,5,1,12,female,3,301550080,759.35999,731.75,1,1,-27.609985,5,-27.5
618290,6,1,12,female,3,300580128,759.35999,743,1,1,-16.359985,7,-17.5
643510,4,1,8,male,3,300580096,759.35999,755,1,1,-4.3599854,10,-2.5
450168,7,1,13,male,3,301980032,759.35999,730,1,1,-29.359985,5,-27.5
314672,9,1,11,male,3,300830016,759.35999,736.25,1,1,-23.109985,6,-22.5
655222,4,1,13,male,3,300830016,759.35999,715,1,1,-44.359985,2,-42.5
618630,5,1,12,male,3,300580000,759.35999,753,1,1,-6.3599854,9,-7.5
518250,3,1,8,male,3,300580096,759.35999,723,1,1,-36.359985,3,-37.5
424571,5,1,12,male,3,300230176,759.35999,745.14001,1,1,-14.219971,8,-12.5
407470,7,1,11,male,3,300580096,759.35999,739,1,1,-20.359985,6,-22.5
512910,3,1,16,male,3,300230016,759.35999,712.5,0,1,-46.859985,1,-47.5
411869,3,1,13,male,3,300580096,759.35999,755,1,1,-4.3599854,10,-2.5
404127,6,no pobre,14,female,3,300550016,759.35999,782.59998,1,1,23.23999,15,22.5
110534,5,1,8,female,3,300580096,759.35999,747,1,1,-12.359985,8,-12.5
634024,4,no pobre,11,female,3,300230016,759.35999,782.5,0,1,23.140015,15,22.5
518600,3,1,14,male,3,300580000,759.35999,733,1,1,-26.359985,5,-27.5
623452,7,1,9,male,3,300660032,759.35999,730.66998,1,1,-28.690002,5,-27.5
450168,3,1,10,male,3,301980032,759.35999,730,1,1,-29.359985,5,-27.5
642430,7,1,10,female,3,300580096,759.35999,747.5,1,1,-11.859985,8,-12.5
401144,5,no pobre,15,male,3,301550016,759.35999,788,1,1,28.640015,16,27.5
642240,3,1,14,male,3,300580096,759.35999,725,1,1,-34.359985,4,-32.5
516420,3,1,11,female,3,300580096,759.35999,712,1,1,-47.359985,1,-47.5
649180,5,1,7,female,3,300580128,759.35999,742,1,1,-17.359985,7,-17.5
618180,5,1,7,male,3,300580128,759.35999,755,1,1,-4.3599854,10,-2.5
404469,4,no pobre,6,female,3,300560000,759.35999,799,1,1,39.640015,18,37.5
315392,3,1,12,male,3,300830016,759.35999,756,1,1,-3.3599854,10,-2.5
512910,7,1,6,male,3,300230016,759.35999,712.5,1,1,-46.859985,1,-47.5
637247,7,1,10,male,3,300660032,759.35999,710,1,1,-49.359985,1,-47.5
332708,7,1,13,female,3,300290016,759.35999,751,0,1,-8.3599854,9,-7.5
637791,4,1,14,female,3,300660032,759.35999,743.5,0,0,-15.859985,7,-17.5
225503,5,1,8,female,3,301830016,759.35999,718.33002,1,1,-41.029968,2,-42.5
405017,7,1,8,male,3,300550016,759.35999,732,1,1,-27.359985,5,-27.5
225502,3,1,6,female,3,301830016,759.35999,732,1,1,-27.359985,5,-27.5
404956,6,1,8,male,3,300550016,759.35999,748,1,1,-11.359985,8,-12.5
618180,4,1,9,male,3,300580128,759.35999,755,1,1,-4.3599854,10,-2.5
410305,5,1,9,male,3,300580064,759.35999,713,1,1,-46.359985,1,-47.5
112504,7,1,6,female,3,301100000,759.35999,719,1,1,-40.359985,2,-42.5
632289,6,1,7,female,3,302030016,759.35999,742,1,1,-17.359985,7,-17.5
642710,4,1,12,male,3,300240000,759.35999,710,1,1,-49.359985,1,-47.5
650165,3,1,13,male,3,300270016,759.35999,745.83002,1,1,-13.529968,8,-12.5
404925,6,1,14,male,3,300550016,759.35999,712,0,1,-47.359985,1,-47.5
225503,3,1,14,male,3,301830016,759.35999,718.33002,1,1,-41.029968,2,-42.5
230114,5,1,10,female,3,300140032,759.35999,736,1,1,-23.359985,6,-22.5
650165,4,1,7,female,3,300270016,759.35999,745.83002,1,1,-13.529968,8,-12.5
649430,6,1,11,female,3,300580128,759.35999,713,1,1,-46.359985,1,-47.5
655182,4,1,13,male,3,300830016,759.35999,725,1,1,-34.359985,4,-32.5
634024,3,no pobre,13,female,3,300230016,759.35999,782.5,0,0,23.140015,15,22.5
651025,5,1,10,female,3,300270016,759.35999,739.5,0,0,-19.859985,7,-17.5
113968,5,1,13,female,3,300200032,759.35999,741,1,1,-18.359985,7,-17.5
644740,6,1,10,male,3,300580064,759.35999,746,1,1,-13.359985,8,-12.5
400682,4,1,12,male,3,300830112,759.35999,710,1,1,-49.359985,1,-47.5
404931,4,1,16,male,3,300550016,759.35999,748,1,1,-11.359985,8,-12.5
401824,4,1,16,male,3,300580128,759.35999,739.5,0,1,-19.859985,7,-17.5
404138,5,no pobre,13,female,3,300550016,759.35999,797,1,1,37.640015,18,37.5
229965,4,1,14,male,3,300080032,759.35999,757,0,0,-2.3599854,10,-2.5
643940,3,1,7,male,3,300790016,759.35999,727,1,1,-32.359985,4,-32.5
328937,5,no pobre,12,male,3,300460032,759.35999,794,1,1,34.640015,17,32.5
450168,4,1,9,male,3,301980032,759.35999,730,1,1,-29.359985,5,-27.5
513250,5,1,8,male,3,300580096,759.35999,758,0,1,-1.3599854,10,-2.5
656622,3,1,16,male,3,300830144,759.35999,718,0,0,-41.359985,2,-42.5
404924,5,1,11,male,3,300550016,759.35999,722,1,1,-37.359985,3,-37.5
409829,3,1,16,female,3,301550144,759.35999,734,1,1,-25.359985,5,-27.5
450737,4,1,15,male,3,300230016,759.35999,715.33002,0,0,-44.029968,2,-42.5
328919,3,1,7,male,3,300460032,759.35999,740.91998,1,1,-18.440002,7,-17.5
649830,9,1,12,male,3,300580128,759.35999,717,1,1,-42.359985,2,-42.5
113971,5,1,15,female,3,300200032,759.35999,712,1,1,-47.359985,1,-47.5
404127,7,no pobre,13,male,3,300550016,759.35999,782.59998,1,1,23.23999,15,22.5
401825,5,1,12,female,3,300580128,759.35999,753,0,1,-6.3599854,9,-7.5
643420,8,no pobre,11,female,3,300240000,759.35999,783,1,1,23.640015,15,22.5
517470,5,1,13,male,3,300580064,759.35999,731,1,1,-28.359985,5,-27.5
644210,7,1,6,female,3,300580192,759.35999,735,1,1,-24.359985,6,-22.5
649430,5,1,13,female,3,300580128,759.35999,713,1,1,-46.359985,1,-47.5
156912,3,1,10,male,3,300830080,759.35999,711,1,1,-48.359985,1,-47.5
314012,7,1,6,male,3,300830048,759.35999,747.5,1,1,-11.859985,8,-12.5
657122,8,1,10,male,3,300830048,759.35999,747,1,1,-12.359985,8,-12.5
686401,3,1,12,female,3,300580128,759.35999,755,1,1,-4.3599854,10,-2.5
423902,10,1,6,male,3,300230176,759.35999,749.91998,1,1,-9.4400024,9,-7.5
411461,5,1,12,male,3,300580096,759.35999,709.5,1,1,-49.859985,1,-47.5
407470,8,1,11,male,3,300580096,759.35999,739,1,1,-20.359985,6,-22.5
642840,7,1,8,female,3,300240000,759.35999,729,1,1,-30.359985,4,-32.5
643920,4,no pobre,16,female,3,300790016,759.35999,760,1,1,.64001465,11,2.5
642840,5,1,15,male,3,300240000,759.35999,729,1,1,-30.359985,4,-32.5
